Date,Close/Last,Volume,Open,High,Low
04/29/2026,$858.32,6179936,$821.11,$887.90,$814.1885
04/28/2026,$791.37,5547735,$813.74,$842.00,$780.48
04/27/2026,$859.68,5289749,$855.745,$867.8548,$811.45
04/24/2026,$881.64,4205835,$837.02,$896.11,$829.13
04/23/2026,$846.89,3756419,$854.00,$881.85,$831.915
04/22/2026,$873.60,4635210,$849.85,$874.17,$818.00
04/21/2026,$836.92,5725514,$900.00,$925.50,$832.18
04/20/2026,$895.11,3337526,$889.50,$906.20,$861.97
04/17/2026,$894.07,4343934,$912.00,$912.00,$865.02
04/16/2026,$891.22,6115726,$825.012,$903.00,$820.16
04/15/2026,$824.01,5994356,$856.885,$859.4899,$800.56
04/14/2026,$852.79,5461915,$901.15,$904.99,$836.00
04/13/2026,$871.18,6558639,$889.00,$905.90,$841.05
04/10/2026,$897.30,7136105,$908.085,$931.75,$863.0001
04/09/2026,$894.13,7034583,$912.00,$960.00,$871.7301
04/08/2026,$896.02,7025370,$877.415,$901.30,$842.00
04/07/2026,$815.75,5486631,$778.82,$816.92,$770.00
04/06/2026,$772.28,5809721,$828.48,$836.91,$767.01
04/02/2026,$826.88,7886158,$708.585,$827.56,$707.835
04/01/2026,$764.65,6911873,$734.875,$784.8938,$732.00
03/31/2026,$702.76,6115881,$679.00,$703.4304,$649.5001
03/30/2026,$654.79,7436360,$725.80,$735.00,$642.37
